#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
  200  326427      1486        1     1430     no   1663.57       -       1.37       0.23       2.14     36.77
  201  329726      1503        1     1430     no   1823.88       -       1.13       0.21       1.89     36.67
  202  330214      1539        1     1430     no   1777.88       -       1.19       0.20       1.96     37.65
  203  331104      1535        1     1430     no   1704.73       -       1.11       0.25       1.93     37.92
  204  331113      1553        1     1430     no   1737.79       -       1.34       0.22       2.13     38.16
  205  333146      1469        6     1427  5'&3'   1179.23       -       1.28       0.45       2.27     38.82
  206  333990      1456       36     1369  5'&3'   1686.48       -       1.02       0.14       1.70     34.36
  207  334413      1522        1     1430     no   1823.10       -       0.95       0.21       1.71     37.23
  208  335283      1537        1     1430     no   1824.54       -       0.95       0.21       1.72     37.51
  209  335284      1539        1     1430     no   1840.36       -       0.99       0.18       1.73     37.54
  210  335541      1696        1     1430     no   1858.38       -       1.21       0.24       2.06     41.26
  211  335543      1562        1     1430     no   1861.06       -       1.03       0.18       1.79     38.03
  212  338966      1558        1     1430     no   1873.11       -       0.97       0.18       1.72     37.91
  213  338969      1537        1     1430     no   1826.60       -       0.98       0.20       1.75     37.55
  214  339860      1476        6     1427  5'&3'   1245.27       -       1.14       0.43       2.11     38.56
  215  340100      1486       28     1412  5'&3'   1752.33       -       1.01       0.18       1.74     35.85
  216  340101      1360        8     1312  5'&3'   1597.34       -       1.14       0.16       1.80     31.95
  217  340177      1501        1     1430     no   1749.00       -       1.03       0.21       1.78     36.86
  218  342108      1484        1     1430     no   1855.56       -       1.01       0.20       1.76     36.23
  219  342451      1553        1     1430     no   1881.48       -       0.87       0.18       1.62     37.78
  220  342949      1497        6     1427  5'&3'   1348.48       -       1.14       0.31       2.00     38.51
  221  343509      1543        1     1430     no   1854.41       -       0.98       0.24       1.79     37.78
  222  348780      1466        6     1427  5'&3'   1246.11       -       1.19       0.37       2.10     37.89
  223  349102      1467        1     1430     no   1801.16       -       0.85       0.22       1.60     36.13
  224  349124      1545        1     1430     no   1885.68       -       0.95       0.20       1.72     37.64
  225  349163      1491        1     1430     no   1821.23       -       1.00       0.20       1.74     36.44
  226  349521      1535        1     1430     no   1866.21       -       0.96       0.21       1.74     37.42
  227  349741      1512        1     1430     no   1735.93       -       0.92       0.16       1.63     37.14
  228  351016      1340       55     1358  5'&3'   1582.75       -       0.76       0.17       1.41     31.85
  229  351160      1476        6     1427  5'&3'   1207.06       -       1.04       0.35       1.93     38.37
  230  351348      1541        1     1430     no   1866.75       -       1.02       0.18       1.76     37.62
  231  351607      1518        1     1430     no   1906.55       -       1.06       0.15       1.77     36.93
  232  352165      1445       28     1379  5'&3'   1637.00       -       1.08       0.16       1.76     34.64
  233  357244      1504        1     1430     no   1801.22       -       0.91       0.24       1.70     36.88
  234  357804      1547        1     1430     no   1842.27       -       1.06       0.22       1.84     37.80
  235  358681      1536        1     1430     no   1884.85       -       1.41       0.19       2.17     37.35
