TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
401053	Terriglobus saanensis	Terriglobus saanensis SP1PR4	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus saanensis	1	core
401526	Thermosinus carboxydivorans	Thermosinus carboxydivorans Nor1	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Thermosinus	Thermosinus carboxydivorans	1	core
402881	Parvibaculum lavamentivorans	Parvibaculum lavamentivorans DS-1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Parvibaculum	Parvibaculum lavamentivorans	1	core
403833	Petrotoga mobilis	Petrotoga mobilis SJ95	Bacteria	Thermotogae	Thermotogae	Petrotogales	1	Petrotoga	Petrotoga mobilis	1	core
405948	Saccharopolyspora erythraea	Saccharopolyspora erythraea NRRL 2338	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora erythraea	1	core
406818	Xenorhabdus bovienii	Xenorhabdus bovienii SS-2004	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Xenorhabdus	Xenorhabdus bovienii	1	core
410358	Methanocorpusculum labreanum	Methanocorpusculum labreanum Z	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum	1	core
411154	Gramella forsetii	Gramella forsetii KT0803	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gramella	Gramella forsetii	1	core
411462	Dorea longicatena	Dorea longicatena DSM 13814	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	1	core
411467	Pseudoflavonifractor capillosus	Pseudoflavonifractor capillosus ATCC 29799	Bacteria	Firmicutes	Clostridia	Clostridiales	1	Pseudoflavonifractor	Pseudoflavonifractor capillosus	1	core
411471	Subdoligranulum variabile	Subdoligranulum variabile DSM 15176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile	1	core
411477	Parabacteroides merdae	Parabacteroides merdae ATCC 43184	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides merdae	1	core
411489	Clostridium sp. L250	Clostridium sp. L2-50	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	1	1	periphery
411490	Anaerostipes caccae	Anaerostipes caccae DSM 14662	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	1	core
411684	Hoeflea phototrophica	Hoeflea phototrophica DFL-43	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea phototrophica	1	core
415426	Hyperthermus butylicus	Hyperthermus butylicus DSM 5456	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus	1	core
416269	Actinobacillus pleuropneumoniae 5b	Actinobacillus pleuropneumoniae serovar 5b str. L20	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae	1	core
416348	Halorubrum lacusprofundi	Halorubrum lacusprofundi ATCC 49239	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halorubrum	Halorubrum lacusprofundi	1	core
416591	Thermotoga lettingae	Thermotoga lettingae TMO	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga lettingae	1	core
416870	Lactococcus lactis cremoris	Lactococcus lactis subsp. cremoris MG1363	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Lactococcus lactis subsp. cremoris	core
419610	Methylobacterium extorquens PA1	Methylobacterium extorquens PA1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium extorquens	1	core
420336	Epulopiscium sp. NtB	Epulopiscium sp. N.t. morphotype B	Bacteria	Firmicutes	Clostridia	Clostridiales	1	Epulopiscium	1	1	core
420662	Methylibium petroleiphilum	Methylibium petroleiphilum PM1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	1	Methylibium	Methylibium petroleiphilum	1	core
426114	Thiomonas sp. 3As	Thiomonas sp. 3As	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	1	Thiomonas	1	1	core
429009	Ammonifex degensii	Ammonifex degensii KC4	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Ammonifex	Ammonifex degensii	1	core
